Cluster,Gene_name
Cluster008,SCRIB
Cluster008,TYW3
Cluster008,TTC3
Cluster008,VARS2
Cluster008,GTPBP3
Cluster008,FAM38A
Cluster008,XPO5
Cluster008,PMPCA
Cluster008,PRPF19
Cluster008,BMS1
Cluster008,GTPBP6
Cluster008,NUP210
Cluster008,UBQLN4
Cluster008,ZDHHC8
Cluster008,FBXL10
Cluster008,PPRC1
Cluster008,UROS
Cluster008,WDR74
Cluster008,RSAD1
Cluster008,AOF2
Cluster008,DHX37
Cluster008,DDX19A
Cluster008,DPP7
Cluster008,NOL6
Cluster008,EIF3B
Cluster008,DFFA
Cluster008,URG4
Cluster008,JMJD8
Cluster008,LOC100128805
Cluster009,RPL12
Cluster009,LOC285900
Cluster009,LOC644039
Cluster009,ADCK2
Cluster009,LOC648000
Cluster009,LOC652624
Cluster009,LOC440737
Cluster009,RPL36
Cluster009,LOC91561
Cluster009,EEF1B2
Cluster009,RPS5
Cluster009,RPL13A
Cluster009,RSL1D1
Cluster009,LOC646200
Cluster009,RPL7A
Cluster009,LOC127295
Cluster009,RPL4
Cluster009,EIF3L
Cluster009,LOC645688
Cluster009,LOC646766
Cluster009,LOC441246
Cluster009,LOC644511
Cluster009,C12orf57
Cluster009,APEX1
Cluster009,RPLP1
Cluster009,RPSA
Cluster009,LOC728128
Cluster009,LOC646688
Cluster009,LOC645173
Cluster009,LOC729742
Cluster009,LOC729500
Cluster009,LOC729679
Cluster009,RPS8
Cluster009,LOC653881
Cluster009,LOC727865
Cluster009,LOC728553
Cluster009,LOC729798
Cluster009,LOC729500
Cluster010,HERC6
Cluster010,RSAD2
Cluster010,MX1
Cluster010,OAS2
Cluster010,OAS1
Cluster010,DHX58
Cluster010,LY6E
Cluster010,IFIT5
Cluster010,IFIT1
Cluster010,IFIT3
Cluster010,IFIT1
Cluster010,OAS2
Cluster010,PARP12
Cluster010,IFI44L
Cluster010,MOV10
Cluster010,HERC5
Cluster010,OAS2
Cluster010,IFIT2
Cluster010,XAF1
Cluster010,OAS3
Cluster010,IFI44
Cluster010,ZBP1
Cluster010,CMPK2
Cluster010,DDX60
Cluster010,
Cluster010,ISG15
Cluster010,RTP4
Cluster010,OAS2
Cluster010,IFI6
Cluster010,XAF1
Cluster010,EPSTI1
Cluster010,OAS1
Cluster011,BCL11B
Cluster011,PTPRCAP
Cluster011,LEF1
Cluster011,TRAT1
Cluster011,IL7R
Cluster011,ITK
Cluster011,FAM113B
Cluster011,TRIB2
Cluster011,CCR7
Cluster011,TCEA3
Cluster011,PPP1R16B
Cluster011,CD3E
Cluster011,PLCG1
Cluster011,CD6
Cluster011,CD5
Cluster011,MGC15763
Cluster011,TNFRSF25
Cluster011,SERPINA10
Cluster011,ITPR3
Cluster011,
Cluster011,
Cluster011,FLT3LG
Cluster011,LEF1
Cluster011,LBH
Cluster011,MAL
Cluster011,MAL
Cluster011,IL7R
Cluster011,DYRK2
Cluster011,PLEKHA1
Cluster011,FAM102A
Cluster011,C2orf89
